asa_id,name,ipfs_image,collection_name,traits
326189642,Al Goanna 001,https://ipfs.io/ipfs/QmXkZDW83bhpcHkS6uiwUHWyqdppSqNL32mSuwyn1DMqgV,Al Goanna,{}
326197463,Al Goanna 002,https://ipfs.io/ipfs/QmQhch252LFJxyNb8Arx4XqVTRyFut8LcFkuTaM4FZLeJ9,Al Goanna,{}
328494610,Al Goanna 003,https://ipfs.io/ipfs/QmW72gSuD9HfMD3mhFuKSPDpSQ73LDKUNBGiPyKKuo5MJA,Al Goanna,{}
328495176,Al Goanna 004,https://ipfs.io/ipfs/QmY2vmeJDKaSfE6zvYPWjjZuerzkTiP34k8H6YTY8nTUXW,Al Goanna,{}
328496756,Al Goanna 005,https://ipfs.io/ipfs/Qme2WQSuxfuFtvg4vQBLxaUoJ81yHW5XJRXFX9kH5AQNzp,Al Goanna,{}
328497556,Al Goanna 006,https://ipfs.io/ipfs/QmPiDPEjA8aSfeeczy21JdzDzR2W7VkHMgfSKoun3Dq7Q7,Al Goanna,{}
328498815,Al Goanna 007,https://ipfs.io/ipfs/QmWPpfcFMAjBc5mhW1La8pfvBfo3SP4aXhyV65p4U72PW8,Al Goanna,{}
328499699,Al Goanna 008,https://ipfs.io/ipfs/QmaoApdb9LedBXgHpcnLMvpg9DCb47UPKAgrAWNtAXCEbn,Al Goanna,{}
328500390,Al Goanna 009,https://ipfs.io/ipfs/QmVS5z3EacyL2BApvrkN81XsN1gfajQiwqVmXhDwPXKVyp,Al Goanna,{}
328501539,Al Goanna 010,https://ipfs.io/ipfs/QmZmoooD6iTxtLRhVfHtVwTFPMknxTJnFiRR6q2rrFFEUw,Al Goanna,{}
328502288,Al Goanna 011,https://ipfs.io/ipfs/QmdNe6GF2KkPnkyDjr7yncK12R7sAvUHYi1436DhLESMcM,Al Goanna,{}
328503002,Al Goanna 012,https://ipfs.io/ipfs/QmdQTsafM7MsZguYBLmZ8Tbqh8c4jLomm52i3CtFeuWUKo,Al Goanna,{}
328503506,Al Goanna 013,https://ipfs.io/ipfs/QmRR3hpQe2deexLFE1EQQrM4HAiRD2Suq1WEvPAeVx5AR6,Al Goanna,{}
328504167,Al Goanna 014,https://ipfs.io/ipfs/QmVRdzW8T27ddSCvAF51MNjXWJjefLKatKuonFPaTKmgcL,Al Goanna,{}
328505062,Al Goanna 015,https://ipfs.io/ipfs/QmbaaE5Pyd91K4PyzsxK4vDFbPRZ4eQ2Y1eH6MqGcCktRB,Al Goanna,{}
328505825,Al Goanna 016,https://ipfs.io/ipfs/QmXLRZe76uSmu316cZpnxTiapjhEYL3nHPb3nu8fxEjzv2,Al Goanna,{}
328506449,Al Goanna 017,https://ipfs.io/ipfs/QmZFsRApRG1wNM1mHGL3tEgPKLqVpUpdjTFmT4SLB6XYou,Al Goanna,{}
328507319,Al Goanna 018,https://ipfs.io/ipfs/QmcufjL85LCzATQxRvUCBKdHGFAYufp28y4SKCsaxTMm8F,Al Goanna,{}
328507916,Al Goanna 019,https://ipfs.io/ipfs/QmSaHKfCzgHqLAsXLGVTX6oREXRRVGYggkCmZq5YeGqMS8,Al Goanna,{}
328517537,Al Goanna 020,https://ipfs.io/ipfs/QmNu6SxU2iFwULEyehn9Eswf4Rx3boGDbhf9jZf8aXiFKi,Al Goanna,{}
328520459,Al Goanna 021,https://ipfs.io/ipfs/Qmb9rrBP423uABhEEMhVVLKY9dHHW99NY5NYxn2manLrkT,Al Goanna,{}
328521744,Al Goanna 022,https://ipfs.io/ipfs/QmYaUz7pW1NpmpU1gqvBMTDBAbMGpuDgS9L7XSdYc3fZw1,Al Goanna,{}
328522422,Al Goanna 023,https://ipfs.io/ipfs/QmX2gGCWAAvAogeh4TY8SF4c6RHzWPmqRXZusiobEk18ga,Al Goanna,{}
328523922,Al Goanna 024,https://ipfs.io/ipfs/QmPBxw6EbjWFW1V8zsdc5gHtj87j3pLrvEggyWmhiQArWj,Al Goanna,{}
328524762,Al Goanna 025,https://ipfs.io/ipfs/QmWxUWbMRfG1fvdopnk1erw6EnY9D8ANrhWEkMfApgXMr5,Al Goanna,{}
328526043,Al Goanna 026,https://ipfs.io/ipfs/QmQRoqsY5YBzmwY1h37fMTgdKbrpekNoEYwt9MigJFkkND,Al Goanna,{}
328527340,Al Goanna 027,https://ipfs.io/ipfs/QmWVaKhnfbWsRzgrHMy8xjtWvhZkdpwCnjWe22b5EnMwUw,Al Goanna,{}
328528518,Al Goanna 028,https://ipfs.io/ipfs/QmcDmQQmg6WPJwfs9fwqQ43Egf6riF1g6mM9GCP7HL5uyU,Al Goanna,{}
328530483,Al Goanna 029,https://ipfs.io/ipfs/QmYvuhuUnQHNnhHcDVi2PjdEfP6cdRvEZ9er5JN3bsVE8J,Al Goanna,{}
328536863,Al Goanna 030,https://ipfs.io/ipfs/QmaimHjXxmt5wUGVjfZ2X7zhP9TDRNnGeuUBNZBDEvtCGJ,Al Goanna,{}
328537993,Al Goanna 031,https://ipfs.io/ipfs/Qma11SZ7kQyjseFYBEToKcTEq7TubvfPEw2iWmV7A2JenQ,Al Goanna,{}
328539074,Al Goanna 032,https://ipfs.io/ipfs/QmbDL74xSa1BGFUKwKULcmJp5ton7dyj1E9jxnunAXzgEb,Al Goanna,{}
328539965,Al Goanna 033,https://ipfs.io/ipfs/QmdnqoNc8sQAQP1fUyNdkBv2Vvy6WyRnqXTeBLj2PVRTDP,Al Goanna,{}
328540781,Al Goanna 034,https://ipfs.io/ipfs/QmVQa4E59tQxkoX4oiT13Wn4HSUBmNLTHVRPYfJme7hGuA,Al Goanna,{}
328541524,Al Goanna 035,https://ipfs.io/ipfs/QmPM8dmoWCsgm5isfjhH5S4Mpf9MQJZy1eU8MukvD7GPXR,Al Goanna,{}
328542664,Al Goanna 036,https://ipfs.io/ipfs/QmXHdJbqt1aAghKxYJV7cjkXHT7DJDW8vf1BiXyfbabhRJ,Al Goanna,{}
328543527,Al Goanna 037,https://ipfs.io/ipfs/QmUseVtKbyRA4XESr8DLPprwt632u9CEeF1chmPtiAxnfX,Al Goanna,{}
328544786,Al Goanna 038,https://ipfs.io/ipfs/QmVureGAoziivDFP91D6K3tEZ4zE4pafJQX7G8BR4d2bQW,Al Goanna,{}
328545759,Al Goanna 039,https://ipfs.io/ipfs/QmYJ9TFCYZTyHwWuJ1ftUR9QUFu5vseh61QBi2exrUTki1,Al Goanna,{}
328546381,Al Goanna 040,https://ipfs.io/ipfs/QmfAPPSCjZ1vzeXJ3sMRvGstnWCj8QUhYP6BUfbgrj1gCC,Al Goanna,{}
328550271,Al Goanna 041,https://ipfs.io/ipfs/QmcuxKftjFLoANibPpHnrkdSP146Z712Au276vuAiHbHgt,Al Goanna,{}
328558722,Al Goanna 042,https://ipfs.io/ipfs/Qmbum5XXvJUkLzfHK8GcSFTN69Ark8W1YKGfKkNufsDRNT,Al Goanna,{}
328559225,Al Goanna 043,https://ipfs.io/ipfs/QmQC6BagM3eBPA8SU4KRLVznQCxXchgTRJoC4UrsBq56Af,Al Goanna,{}
328559956,Al Goanna 044,https://ipfs.io/ipfs/QmWvfuxrA6k17tudUkZP3o7A2YFeq9zmT2GUE2fNjCPKoL,Al Goanna,{}
328560895,Al Goanna 045,https://ipfs.io/ipfs/QmdrxA83CVfnmLcz9UEQnRwdCbbV6sRkV7gR9iSpkLdxnq,Al Goanna,{}
328562025,Al Goanna 046,https://ipfs.io/ipfs/QmPwwRoyCrRTJRfbPFK9WsxMRH4VMBv1k3xWHoFxNzzrg2,Al Goanna,{}
328562778,Al Goanna 047,https://ipfs.io/ipfs/QmeT4czVyyxYTT1tfroj6XmRc4LDWVQuERyoBmCX2CycdF,Al Goanna,{}
328563689,Al Goanna 048,https://ipfs.io/ipfs/QmRgpcMuwgeg7KZr1qmMJkJpaPnW7Cwd5u29ReC4CmAKDx,Al Goanna,{}
328565014,Al Goanna 049,https://ipfs.io/ipfs/QmW532T6kB2vGHXur87XAEwZ6sXZewvqbQUaNFKc6HtRyX,Al Goanna,{}
328566193,Al Goanna 050,https://ipfs.io/ipfs/QmSe43EPHqD9B3NKubFzinhpHMgg9TTf3wv3rF1UYRQ1ZA,Al Goanna,{}
329839470,Al Goanna 051,https://ipfs.io/ipfs/QmRLfcgYzthfZPDoYSf8unFLVsXL25A2z3pTFSHTCXoXqS,Al Goanna,{}
330597170,Al Goanna 052,https://ipfs.io/ipfs/QmP6btimge37muxWxuahxXKxavLZDYGXsU7cnLnirSu51R,Al Goanna,{}
330598116,Al Goanna 053,https://ipfs.io/ipfs/QmPUMSh45WYuRsvSxsyZ7F1xsRswWUjNZATxtyD29hFZ4k,Al Goanna,{}
330598680,Al Goanna 054,https://ipfs.io/ipfs/QmUh6wyh1RuiS6EieVR2je9Qq1vBwdsXCu96YFhARquNRZ,Al Goanna,{}
330599549,Al Goanna 055,https://ipfs.io/ipfs/QmWQo6jRQ4guB7iRJqk8XF4nxh4Wb5t5vjD7scmx1WELiW,Al Goanna,{}
330600155,Al Goanna 056,https://ipfs.io/ipfs/QmdNAuevoJKLuTu5fDNQiRjqz72jjbfxG2Rj1eT9yA5VGU,Al Goanna,{}
334782287,Al Goanna 057,https://ipfs.io/ipfs/QmSFuNjVVLVT6fETC7Rup9hLEzRkvaDztRHGxoLGnPiCa9,Al Goanna,{}
