asa_id,name,latest_transfer_date,tx_id,staked_date,not_moved_days,staked_days,eligible
326189642,Al Goanna 001,2021-11-09 01:58:34,SM3EVD7EVB7URTQRIVYD5EM2TCUTR3TXMFXVFBB7LXY4WPZYVIDA,2021-11-13 00:17:00,29,25,No
326197463,Al Goanna 002,2021-11-08 19:24:05,3L62KEVQZGNCNNEQRY763T5BX3ROUMBUPNG7K4DFQRRALBNQIJIQ,2021-11-09 16:36:00,29,28,No
328494610,Al Goanna 003,2021-09-11 17:00:14,NG5WFGKRZYVTV7RTV2KBUBECJP6MNBPXWILK4O4RKMRRTLWXOANQ,2021-10-14 08:02:00,87,55,No
328495176,Al Goanna 004,2021-09-17 13:40:39,XACVH7JGKTUVUOALPBLFQGF2RCFIU4KABVSOVHRJQCH2QSVD26WQ,2021-10-13 12:51:00,81,55,No
328496756,Al Goanna 005,2021-11-08 19:19:48,JG6LZ2IKQIBVRU7UFLPU6527COY4VPFD56LQ6YLDAQLN2NY7FBLQ,2021-11-09 16:45:00,29,28,No
328497556,Al Goanna 006,2021-09-11 17:18:04,ZIBSS6EQU3SED3AK6FWVT3RBULBU7LKUJY5P4LHWL7PL4NIETAOA,2021-11-02 12:28:00,87,35,No
328498815,Al Goanna 007,2021-09-11 17:35:47,QAFXLXQAK4IYZKRSE64V2RWRBTQIQ2ISMNYZ2CTTPXT52KZC4EBQ,2021-11-02 12:29:00,87,35,No
328499699,Al Goanna 008,2021-10-15 14:16:29,2ZHVTQM2RYGGUIGW3ASOL4W5FEOKLCUFRSTUHXQLLZOSGN23KWNQ,2021-10-15 14:17:00,53,53,No
328500390,Al Goanna 009,2021-09-11 17:21:36,YG6LEXP3P5JBH5GL6UKISK7T5HEUDWWQNGWQTAXQ2EUCEUGEFSMQ,2021-10-14 04:29:00,87,55,No
328501539,Al Goanna 010,2021-10-07 06:14:52,KLBGJFGPRHMCTYMCJ6JIPAEHJZER5TVXBGBHAISWRS6W3M2FR5ZQ,2021-10-14 19:35:00,62,54,No
328502288,Al Goanna 011,2021-10-23 09:03:55,NGQPHCFMXUXRHJX4C5IJPLBYZGUSKMSOCNCNIE2GQFI54HWL5GKQ,2021-10-23 09:08:00,46,46,No
328503002,Al Goanna 012,2021-09-11 18:10:22,HGG644FZX2ZB3C63NZAHARUYOC2L2BSUJZMCFAS7G52LSL7JAWUQ,2021-11-02 12:30:00,87,35,No
328503506,Al Goanna 013,2021-11-30 15:50:20,2YXFCLXHTDX4K6KFUHP3N34ZXD47DVYEOWQ4Y2ARSUVHA3ONTLQA,NOT STAKED,7,0,No
